S/N,Epigraph,"Author of  Epigraph (Last name, First name)",Source of  Epigraph,"Medium of Epigraph (Novel, Play, Song etc)",Country of  Source of Epigraph (if applicable),Epigraph ISBN (if any),Chapter/ Parts Epigraphs (Y/N),"Author (Last name, First Name)",Title of Book,Nationality,Year of  Original Publication,Genre,Year of  Epigraph (if applicable),ISBN,Remarks,Book's Edition (if applicable)
1788,For every truth best left a lie,,,,,,,"Kuehn, Stephanie",Complicit,US,2014,"Fiction, Young Adult Fiction",,9781250044594,,
1789,Three quarks for Muster Mark! Sure he hasn't got much of a bark  And sure any he has it's all beside the mark.,"Joyce, James",Finnegans Wake,,,,Y,"Kuehn, Stephanie",Charm and Strange,US,2013,"Fiction, Young Adult Fiction",,9781405267847,Epigraphs begin on section,
1790,I have eaten the plums that were in  the icebox   and which  you were probably  saving for breakfast  Forgive me they were delicious so sweet  and so cold,"Williams, William Carlos",This is Just to Say,Poem,,,,"Kuipers, Alice",Life on the Refridgerator Door,US,2007,"Fiction, Young Adult Fiction",,9781509801879,,
1791,"This is the way the world ends.  Not with a bang, but a whimper.","Eliot, T.S.",,,,,,"Kurtagich, Dawn",The Creeper Man,US,2016,"Fiction, Young Adult Fiction",,9781510101685,,
1792,"The people to fear are not the Strong, but the Weak. It's the Weak who'll buckle when you're least expecting it, the Weak who'll betray you without warning, the Weak who will stop at nothing to save themselves.","Sacks, Mark",,,,,Y,"Kurti, Richard",Monkey Wars,US,2013,"Fiction, Young Adult Fiction",,9781406346107,,
1793,Make yourself at your peril.,,"Revelation, Tenet 3",,,,,"Kurti, Richard",Maladapted,US,2016,"Fiction, Young Adult Fiction",,9781406346299,,
1794,"This is the way the world ends.  Not with a bang, but a whimper.","Eliot, T.S.",,,,,,"Kurtagich, Dawn",And the Trees Creep In,US,2016,"Fiction, Young Adult Fiction",,9780316298704,,
1795,"O the mind, mind has mountains; cliffs of fall, frightful, sheer, no man fathomed.","Hopkins, Gerard Manley","No worst, there is none",,,,,"Lamb, Victoria",Witchrise,US,2014,"Fiction, Young Adult Fiction",,9780373211029,,
1796,"Howl, howl, howl, howl! O, you are men of stones.  Had I your tongues and eyes, I'd use them so  That heaven's vault should crack. She's gone for ever  I know when one is dead, and when one lives.  She's dead as earth.","Shakespeare, William",King Lear,Play,UK,,,"Lamb, Victoria",Witchfall,US,2013,"Fiction, Young Adult Fiction",,9780373211005,,
1797,"Who owns the whole rainy, stony earth? Death.","Hughes, Ted",Examination at the Womb-Door,,,,,"Lamb, Victoria",Witchfall,US,2013,"Fiction, Young Adult Fiction",,9780373211005,,
1798,"If you think you are too small to make a difference, try sleeping in a closed room with a mosquito.",,African Proverb,Proverb,,,Y,"Lancaster, Mike",DotWav,US,2016,"Fiction, Young Adult Fiction",,9781510704046,,
1799,He who fights the battles of America may claim America as his country - and have that claim respected.,"Douglass, Frederick",,,,,,"Landman, Tanya",Buffalo Soldier,US,2014,"Fiction, Young Adult Fiction",,9781406314595,,
1800,"We leave pieces of ourselves everywhere. Every time we meet someone, they take some of us and we take some of them. That's how it is. Little particles stick us together. Bit by bit. I think it's how we get whole.",,On a piece of notebook paper found on the side of the US 281,,,,,"Lane, Lindsey",Evidence of Things Not Seen,US,2014,"Fiction, Young Adult Fiction",,9780374300609,,
1801,Do not be satisfied with the stories that come before you. Unfold your own myth.,Jalal ad-Din Muhammad Rumi,,,,,,"Latham, Jennifer",Scarlett Undercover,US,2015,"Fiction, Young Adult Fiction",,9780316283939,,
1802,"sublime  1. (adjective) transcendent; complete, absolute 2. (transitive verb) to cause to pass directly from the solid to the vapor state",,,,,,,"Lauren, Christina",Sublime,US,2014,"Fiction, Young Adult Fiction",,9781481413688,,
1803,"A slumber did my spirit seal I had no human fears:  She seem'd a thing that could not feel The touch of earthly years.  No motion has she now, no force;  She neither haers no sees;  Roll'd round in earth's diurnal course,  With rocks, and stones, and trees.","Wordsworth, William",A Slumber Did my Spirit Seal,Poem,,,,"Lauren, Christina",Sublime,US,2014,"Fiction, Young Adult Fiction",,9781481413688,,
1804,Life contains but two tragedies. One is not to get your heart's desire; the other is to get it.,"Shaw, George Bernard",,,,,Y,"Lawrence, Theo",Toxic Heart,US,2014,"Fiction, Young Adult Fiction",,9780385741620,,
